,name,num_clusters,percent_connected,sensitivity,positive predicted value,accuracy,fraction_matched,separation,precision,recall,f-measure,mmr,sensitivity_sgd,positive_predicted_value_sgd,accuracy_sgd,fraction_matched_sgd,separation_sgd,precision_sgd,recall_sgd,f-measure_sgd
0,mcl-1.5,202,0.9801980198019802,0.7482014388489209,0.433015873015873,0.569195132827836,0.1352657004830917,0.28994521821221,0.0594059405940594,0.0579710144927536,0.0586797066014669,0.0597083713594314,0.8897196261682243,0.3090909090909091,0.524408474462761,0.1092436974789916,0.2291691944681291,0.0445544554455445,0.0378151260504201,0.0409090909090909
1,mcl-2.0,343,0.9825072886297376,0.7290167865707434,0.5571979434447301,0.6373434350598616,0.251207729468599,0.342824617136911,0.075801749271137,0.1256038647342995,0.0945454545454545,0.133669391015117,0.8517133956386292,0.4222781623662681,0.599716572701651,0.2899159663865546,0.273537461084346,0.0524781341107871,0.0798319327731092,0.0633274696787334
2,mcl-2.5,430,0.9697674418604652,0.6900479616306955,0.6177836761778368,0.6529168143609367,0.3043478260869565,0.3495351095104898,0.0720930232558139,0.1497584541062802,0.097331240188383,0.1614463902975272,0.811214953271028,0.4800514800514801,0.6240392126762943,0.3781512605042016,0.2916030528747912,0.0906976744186046,0.1722689075630252,0.1188317479191438
3,mcl-3.0,480,0.9729166666666668,0.6378896882494005,0.6530334014996592,0.6454171309308913,0.3816425120772946,0.3725748189365261,0.0833333333333333,0.1932367149758454,0.1164483260553129,0.1996099365946871,0.7601246105919003,0.5190890823844608,0.6281499714319783,0.4579831932773109,0.309852955579734,0.1125,0.2352941176470588,0.1522198731501057
4,mcl-3.5,491,0.9714867617107944,0.6133093525179856,0.67773851590106,0.6447196060023145,0.391304347826087,0.3849973564196228,0.0936863543788187,0.2222222222222222,0.1318051575931232,0.2111073770981727,0.7146417445482866,0.5400139178844816,0.6212217706723752,0.4873949579831932,0.3244424976945997,0.120162932790224,0.2563025210084033,0.1636169390584866
5,mcl-4.0,494,0.97165991902834,0.5623501199040767,0.7340191036002939,0.6424762493053795,0.4396135265700483,0.4023095332597938,0.1052631578947368,0.251207729468599,0.1483594864479315,0.2302430419963789,0.6847352024922119,0.5538684020245842,0.6158353614516964,0.5210084033613446,0.3372981381134959,0.1153846153846153,0.2478991596638655,0.1574733096085409
6,mcl-4.5,492,0.9735772357723578,0.5467625899280576,0.7467382962394474,0.6389746198796517,0.4444444444444444,0.4112374146876966,0.1016260162601626,0.2415458937198067,0.1430615164520743,0.2327497106918202,0.6635514018691588,0.5566318926974665,0.6077449076088479,0.5042016806722689,0.3324468294954218,0.1239837398373983,0.2647058823529412,0.168871116579514
7,mcl-5.0,484,0.9793388429752066,0.5281774580335732,0.7604166666666666,0.6337467491406665,0.429951690821256,0.4176203844929461,0.1033057851239669,0.2415458937198067,0.1447178002894356,0.2308881815037839,0.6373831775700934,0.5672559569561876,0.6012980993985421,0.5126050420168067,0.3422013788317606,0.134297520661157,0.2857142857142857,0.1827125790583274
8,mcl-5.5,477,0.9853249475890984,0.5089928057553957,0.7664720600500416,0.6246028853423501,0.4009661835748792,0.4168087030391991,0.10062893081761,0.2318840579710145,0.1403508771929824,0.2196264294628609,0.6118380062305296,0.570168404170008,0.590635843496668,0.4915966386554621,0.3406376637988546,0.1278825995807128,0.2647058823529412,0.1724517040992618
9,mcl-6.0,478,0.9832635983263598,0.4922062350119904,0.772609819121447,0.6166712010488753,0.3864734299516908,0.42210079922129945,0.100418410041841,0.2318840579710145,0.14014598540145987,0.21707813802426248,0.5819314641744548,0.5774058577405857,0.5796642443845282,0.49159663865546216,0.33904506838625237,0.12343096234309624,0.25630252100840334,0.16662037037037036
