,protein,betweenness,degree,closeness
0,0,0.4376352813852815,16,0.5689655172413793
1,10,0.0006313131313131,3,0.3793103448275862
2,5,0.0299873737373737,4,0.38372093023255816
3,11,0.0,1,0.36666666666666664
4,13,0.0458633958633958,5,0.515625
5,1,0.0539366883116883,9,0.4852941176470588
6,4,0.0006313131313131,3,0.3793103448275862
7,19,0.0324750481000481,3,0.5
8,17,0.0,2,0.375
9,21,0.0,2,0.375
10,7,0.0,4,0.44
11,16,0.0,2,0.28448275862068967
12,6,0.0299873737373737,4,0.38372093023255816
13,12,0.0,2,0.3707865168539326
14,3,0.0119092712842712,6,0.4647887323943662
15,2,0.1436568061568061,10,0.559322033898305
16,8,0.0559268278018278,5,0.515625
17,31,0.1382756132756132,6,0.5409836065573771
18,30,0.0144119769119769,4,0.4583333333333333
19,9,0.0008477633477633,2,0.4342105263157895
20,27,0.0223334535834535,4,0.4583333333333333
21,28,0.001794733044733,3,0.4520547945205479
22,32,0.145247113997114,12,0.515625
23,33,0.3040749759499759,17,0.55
24,14,0.0,2,0.3707865168539326
25,15,0.0,2,0.3707865168539326
26,18,0.0,2,0.3707865168539326
27,20,0.0,2,0.3707865168539326
28,22,0.0,2,0.3707865168539326
29,23,0.0176136363636363,5,0.39285714285714285
30,25,0.0038404882154882,3,0.375
31,29,0.0029220779220779,4,0.38372093023255816
32,24,0.0022095959595959,3,0.375
33,26,0.0,2,0.3626373626373626
